Nr;Interpretation;Kommunikation;Grundidee;Konsistenzprüfung;Fehlermanagement;Machine Learning;Entscheidung;Systemanalyse;Ontologie/Semantik;Meta-Interpretation;Meta-Kommunikation;Meta-Kohärenz;Reflexionsgrad;Adaptivität;Interferenzkontrolle;Meta-Systemzustand;R-Kontinuum;Ontologisches Objekt
1;klar wahr;Zustimmung;Basiswahrheit;stabil;kein Fehler;sicheres Label;ausführen;stabiler Zustand;gültige Relation;selbstkonsistent;explizit wahrnehmbar;logisch kohärent;0;konstant;keine;stationär;Linguistik statt Sprache: Sprachwissenschaft, semantisch über Bedeutung über Ontologien;Zeichen, Bezeichner, z.B. Namen und mehr als Namen, Symbol, Zeichen
2;klar falsch;Ablehnung;Negation;stabil;falscher Wert;fehlerhaftes Label;verwerfen;inkonsistent;ungültige Relation;selbstnegierend;Ablehnungs-Echo;logisch invertiert;0;konstant;keine;stationär;Wechselwirkung: semantisches ontologisches Tripel, analog Meta-Physik-Teilchen, Datenbank-Tripel-Store;Inhalt: Syntax wie Komma, Punkt, Leerzeichen, Absatz, Anführungszeichen etc.
3;unbestimmt;Frage / Unsicherheit;Offenheit;unentschieden;fehlende Info;fehlende Daten;warten;neutral;unvollständige Entität;potenziell stabil;explorativ;epistemisch offen;1;dynamisch;gering;meta-neutral;Zeichen, Bezeichner, z.B. Namen, Symbole;Informations-Einheit: nicht nur Token, semantisch ontologisch
4;widersprüchlich;Konflikt;Ambivalenz;fehlerhaft;Widerspruch;doppelte Labels;Konfliktlösung;Deadlock;Mehrdeutigkeit;rekursiv oszillierend;paradox kommunizierend;logisch zweiseitig;2;oszillierend;stark;metastabil;Inhalt;Wort: semantisch ontologisch, mehr als Token
5;dinglich;Faktisch, konkret;Materialität;überprüfbar;Sensorfehler;reale Messung;verifizieren;Ressourcenzustand;physische Entität;empirisch validiert;physisch rückgekoppelt;messbar konsistent;1;adaptiv;gering;stabilisiert;Syntax: Komma, Punkt, Leerzeichen, Absatz, Anführungszeichen etc.;Gestaltung: neutral, sachlich, poetisch, wissenschaftlich, formal/informell
6;stapelbar;kombinierbar;Weiterentwicklung;reproduzierbar;Versionsfehler;inkrementelles Lernen;optimieren;modulare Iteration;evolutionäres Konzept;rekursiv lernend;selbstverstärkend;meta-progressiv;2;hoch;mittel;evolutionär;Informations-Einheit: nicht nur Token, semantisch ontologisch;Sprach-Kosmos: Sprech-Sprache oder Programmiersprache
7;ursprungsanalytisch;retrospektiv;Rückverfolgung;Basisvergleich;Log-Historie;Datentrace;Ursache bestimmen;Regressionsprüfung;Herkunftsstruktur;metahistorisch;rückwärtskonsistent;selbsterklärend;3;konstant;gering;rekonstruierend;Wort: semantisch ontologisch, mehr als Token;Token-Art: Unterscheidungseinheiten von Gestaltungen, Gehirn-Kosmen, Wörtern, Syntaxen, Inhalten, Zeichen, Symbolen
8;systemisch-vernetzt;Metaebene;Integration;Gesamtkonsistenz;globale Konflikte;Meta-Layer;Gesamtentscheidung;Querschnittsanalyse;semantische Kohärenz;hypervernetzt;intersystemisch;meta-kohärent;4;adaptiv;gering;global stabil;Gestaltung: sachlich, poetisch, wissenschaftlich, formal/informell;Bedeutung: semantisch, nicht nur Ontologie
9;meta-wahr;Selbstbestätigung;Wahrheit zweiter Ordnung;reflexiv stabil;keine Meta-Fehler;Meta-Label stabil;automatisieren;selbstanalytisch;Meta-Relation gültig;auto-kohärent;metasprachlich;logisch geschlossen;5;hoch;minimal;überstabil;Sprach-Kosmos: Sprech-Sprache oder Programmiersprache;Zusammenhang / Interkonnektion darstellend
10;meta-falsch;Meta-Negation;Verwerfungsstruktur;konsistent;Meta-Fehler erkannt;falsche Meta-Label;metaverwerfen;Meta-Inkonstanz;ungültige Meta-Relation;auto-negierend;selbstwidersprechend;meta-invertiert;5;hoch;gering;oszillierend;Token-Art: Unterscheidungseinheiten von Gestaltung, Gehirn-Kosmen, Wörtern, Syntax, Tripeln;Wortgruppe: zwölf Wortgruppe mit dreizehn Deutung zusammen der Satz
